model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 cut,200,5,5,1.1,2,5.49E+08,1333.17,0,18748,21.6993,1887,0
 cut,200,10,5,1.1,2,5.54E+08,565.07,0,7090,8.53561,1045,0
 cut,200,25,5,1.1,2,6.00E+08,3299.21,0.000302017,36487,33.484,795,475
 cut,200,42,5,1.1,2,5.54E+08,3114.99,0.000226076,28597,35.7999,1925,1014
 cut,200,98,5,1.1,2,5.82E+08,3235.02,8.48E-06,21591,59.1807,6470,778
 cut,200,5,10,1.1,2,5.49E+08,3206.38,5.94E-05,30966,53.1997,2868,1034
 cut,200,10,10,1.1,2,5.54E+08,1847.73,0,14926,26.9558,3075,0
 cut,200,25,10,1.1,2,6.00E+08,3260.76,0.00037825,36037,34.0506,641,430
 cut,200,42,10,1.1,2,5.54E+08,3235.72,0.000582689,27186,28.1469,846,659
 cut,200,98,10,1.1,2,5.82E+08,3144.9,0.000861981,30283,33.2744,343,337
 cut,200,5,20,1.1,2,5.48E+08,3185.17,0.000675305,18001,25.7572,1214,830
 cut,200,10,20,1.1,2,5.54E+08,3173.57,0.000459956,20452,32.3164,1900,1183
 cut,200,25,20,1.1,2,5.99E+08,3097.76,0.00106435,22787,26.7609,611,578
 cut,200,42,20,1.1,2,5.54E+08,3109.48,0.000998553,19974,23.4275,629,546
 cut,200,98,20,1.1,2,5.81E+08,3101.43,0.00137721,17249,24.0126,832,768
 cut,200,5,25,1.1,2,5.49E+08,3166.07,0.00242705,26713,35.6311,480,439
 cut,200,10,25,1.1,2,5.54E+08,3278.1,0.00128094,15688,18.674,993,782
 cut,200,25,25,1.1,2,5.99E+08,3250.56,0.000934072,19497,23.1371,1446,1076
 cut,200,42,25,1.1,2,5.54E+08,3190.42,0.00253121,28082,23.3851,579,561
 cut,200,98,25,1.1,2,5.81E+08,3247.67,0.00176789,23287,22.3792,920,760
 cut,200,5,40,1.1,2,5.47E+08,3278.91,0.0029555,12327,21.2307,1622,1422
 cut,200,10,40,1.1,2,5.53E+08,3316.84,0.00362184,6015,35.4266,4908,4710
 cut,200,25,40,1.1,2,5.99E+08,3204.53,0.0038089,23549,23.8754,811,798
 cut,200,42,40,1.1,2,5.53E+08,3258.96,0.00378625,17054,21.326,1509,1483
 cut,200,98,40,1.1,2,5.80E+08,3287.81,0.00284727,7400,26.5778,3262,3239
 cut,200,5,5,1.1,5,5.49E+08,148.7,0,1155,1.59131,298,0
 cut,200,10,5,1.1,5,5.54E+08,103.31,0,484,0.312944,66,0
 cut,200,25,5,1.1,5,6.00E+08,331.87,0,2789,8.06614,1558,0
 cut,200,42,5,1.1,5,5.54E+08,697.69,0,7129,9.76205,1383,0
 cut,200,98,5,1.1,5,5.82E+08,358,0,3857,6.65571,977,0
 cut,200,5,10,1.1,5,5.48E+08,266.18,0,1959,4.03434,1153,0
 cut,200,10,10,1.1,5,5.54E+08,144.14,0,1120,1.76285,222,0
 cut,200,25,10,1.1,5,5.99E+08,345.53,0,2683,6.12613,1710,0
 cut,200,42,10,1.1,5,5.54E+08,1935.59,0,9162,35.1895,9040,0
 cut,200,98,10,1.1,5,5.81E+08,544.27,0,8203,12.9445,2191,0
 cut,200,5,20,1.1,5,5.48E+08,3403,0.000111419,2326,186.975,36000,23383
 cut,200,10,20,1.1,5,5.54E+08,486.14,0,1094,11.2156,4630,0
 cut,200,25,20,1.1,5,5.99E+08,3431.74,0.000161205,4619,136.392,23045,17337
 cut,200,42,20,1.1,5,5.53E+08,3424,0.000150813,8994,77.5746,13650,9813
 cut,200,98,20,1.1,5,5.81E+08,3432.12,8.42E-05,9216,89.4992,18774,12165
 cut,200,5,25,1.1,5,5.47E+08,3391.29,0.000127067,1850,187.034,29597,19778
 cut,200,10,25,1.1,5,5.53E+08,3392.96,0.000129314,2919,133.156,24200,16683
 cut,200,25,25,1.1,5,5.98E+08,3518.67,0.000353067,4444,77.7233,13100,9724
 cut,200,42,25,1.1,5,5.53E+08,3458.85,0.000417138,14444,27.0558,3583,2469
 cut,200,98,25,1.1,5,5.80E+08,3547.69,0.000275017,5143,99.7795,18252,15760
 cut,200,5,40,1.1,5,5.46E+08,3538.67,0.00132862,2484,38.184,7063,4575
 cut,200,10,40,1.1,5,5.52E+08,3544.71,0.00134349,2050,44.6688,8700,7002
 cut,200,25,40,1.1,5,5.97E+08,3498.19,0.00183321,5986,29.151,4881,4311
 cut,200,42,40,1.1,5,5.53E+08,3459.98,0.00308679,8769,20.631,3029,3013
 cut,200,98,40,1.1,5,5.79E+08,3538.84,0.0017694,3027,42.0343,7039,6765
 flow,200,5,5,1.1,2,5.49E+08,3557.27,0.000409761,0,0,7000,6822
 flow,200,10,5,1.1,2,5.54E+08,3569.69,0.000169864,0,0,109800,104783
 flow,200,25,5,1.1,2,6.00E+08,3554.67,0.000392414,0,0,7707,7363
 flow,200,42,5,1.1,2,5.54E+08,3548.92,0.000555554,0,0,3033,2853
 flow,200,98,5,1.1,2,5.82E+08,3560.15,0.000320973,0,0,10490,9789
 flow,200,5,10,1.1,2,5.48E+08,3556.6,0.000360764,0,0,10700,9525
 flow,200,10,10,1.1,2,5.54E+08,3557.67,0.000219802,0,0,9200,8344
 flow,200,25,10,1.1,2,6.00E+08,3564.99,0.000416395,0,0,7833,7555
 flow,200,42,10,1.1,2,5.54E+08,3561.85,0.000516423,0,0,3946,3753
 flow,200,98,10,1.1,2,5.82E+08,3554.04,0.000430402,0,0,6856,6348
 flow,200,5,20,1.1,2,5.48E+08,3549.48,0.000615685,0,0,4040,3634
 flow,200,10,20,1.1,2,5.54E+08,3556.57,0.000370979,0,0,7065,4144
 flow,200,25,20,1.1,2,5.99E+08,3551.63,0.000589181,0,0,5621,5280
 flow,200,42,20,1.1,2,5.53E+08,3556.11,0.000682622,0,0,3523,3060
 flow,200,98,20,1.1,2,5.81E+08,3556.18,0.000590275,0,0,3420,3190
 flow,200,5,25,1.1,2,5.48E+08,3555.12,0.000671053,0,0,3746,3295
 flow,200,10,25,1.1,2,5.53E+08,3553.86,0.000584173,0,0,3131,1786
 flow,200,25,25,1.1,2,5.98E+08,3555.15,0.000840781,0,0,3882,3553
 flow,200,42,25,1.1,2,5.53E+08,3555.93,0.000850855,0,0,2160,1922
 flow,200,98,25,1.1,2,5.81E+08,3551.64,0.000766953,0,0,3200,2725
 flow,200,5,40,1.1,2,5.46E+08,3550.39,0.00167379,0,0,2050,1484
 flow,200,10,40,1.1,2,5.52E+08,3567.18,0.00199475,0,0,1925,1372
 flow,200,25,40,1.1,2,5.98E+08,3529,0.00195961,0,0,2609,1503
 flow,200,42,40,1.1,2,5.52E+08,3559.56,0.00192944,0,0,955,803
 flow,200,98,40,1.1,2,5.79E+08,3554.35,0.00158554,0,0,2237,1761
 flow,200,5,5,1.1,5,5.49E+08,3566.52,0.000213587,0,0,143006,138843
 flow,200,10,5,1.1,5,5.54E+08,271.25,0,0,0,3732,0
 flow,200,25,5,1.1,5,6.00E+08,3562.36,0.000171844,0,0,186700,179944
 flow,200,42,5,1.1,5,5.54E+08,3494.19,0.000258665,0,0,33005,31540
 flow,200,98,5,1.1,5,5.82E+08,3438.75,0.000165549,0,0,107100,100078
 flow,200,5,10,1.1,5,5.48E+08,3397.29,0.000283294,0,0,21015,19399
 flow,200,10,10,1.1,5,5.54E+08,245.01,0,0,0,5692,0
 flow,200,25,10,1.1,5,5.99E+08,3564.31,0.0001644,0,0,151400,143545
 flow,200,42,10,1.1,5,5.54E+08,3542.87,0.00049992,0,0,6200,6106
 flow,200,98,10,1.1,5,5.81E+08,3566.22,0.000115608,0,0,117600,106722
 flow,200,5,20,1.1,5,5.48E+08,3547.02,0.00036292,0,0,8851,7824
 flow,200,10,20,1.1,5,5.54E+08,3547.69,0.000114042,0,0,13032,8839
 flow,200,25,20,1.1,5,5.99E+08,3539.54,0.000362752,0,0,7641,6635
 flow,200,42,20,1.1,5,5.53E+08,3565.86,0.000445065,0,0,5600,4246
 flow,200,98,20,1.1,5,5.81E+08,3568.71,0.000298896,0,0,7973,6389
 flow,200,5,25,1.1,5,5.47E+08,3573.83,0.000331868,0,0,8455,6816
 flow,200,10,25,1.1,5,5.53E+08,3574.38,0.000269261,0,0,3882,2455
 flow,200,25,25,1.1,5,5.98E+08,3557.56,0.000623289,0,0,4690,3948
 flow,200,42,25,1.1,5,5.53E+08,3561.66,0.000745942,0,0,3373,2999
 flow,200,98,25,1.1,5,5.80E+08,3566.67,0.000466559,0,0,3362,2126
 flow,200,5,40,1.1,5,5.46E+08,3565.08,0.00135388,0,0,2265,1930
 flow,200,10,40,1.1,5,5.52E+08,3582.31,0.0016773,0,0,1845,1562
 flow,200,25,40,1.1,5,5.97E+08,3567.46,0.00117591,0,0,2700,2044
 flow,200,42,40,1.1,5,5.52E+08,3564.22,0.00171897,0,0,2085,1800
 flow,200,98,40,1.1,5,5.79E+08,3566.94,0.00128672,0,0,2592,2088
